order_id,date_id,customer_id,product_id,quantity,unit_price,discount_pct,gross_amount,discount_amount,net_revenue,total_cost,profit,profit_margin_pct
SO000072,20220901,C00071,P0022,12,316.23,0.0,3794.76,0.0,3794.76,1849.2,1945.56,0.5127
SO000073,20241107,C00052,P0007,10,213.28,0.1,2132.8,213.28,1919.52,1438.6,480.92,0.2505
SO000075,20240610,C00075,P0016,2,794.81,0.0,1589.62,0.0,1589.62,737.3,852.32,0.5362
SO000076,20240331,C00020,P0013,10,183.15,0.05,1831.5,91.58,1739.92,996.0,743.92,0.4276
SO000077,20241009,C00030,P0006,8,769.69,0.0,6157.52,0.0,6157.52,4529.2,1628.32,0.2644
SO000078,20230203,C00266,P0010,1,407.06,0.1,407.06,40.71,366.35,162.22,204.13,0.5572
SO000080,20231225,C00142,P0013,16,183.15,0.0,2930.4,0.0,2930.4,1593.6,1336.8,0.4562
SO000081,20220704,C00378,P0003,9,329.69,0.0,2967.21,0.0,2967.21,1701.63,1265.58,0.4265
SO000082,20230721,C00179,P0012,4,1402.52,0.05,5610.08,280.5,5329.58,2513.68,2815.9,0.5284
SO000083,20230619,C00295,P0001,3,1184.23,0.0,3552.69,0.0,3552.69,1592.64,1960.05,0.5517
SO000084,20220828,C00151,P0011,9,612.61,0.2,5513.49,1102.7,4410.79,2910.78,1500.01,0.3401
SO000085,20240625,C00295,P0009,7,207.23,0.05,1450.61,72.53,1378.08,692.72,685.36,0.4973
SO000086,20240801,C00493,P0015,10,1099.41,0.15,10994.1,1649.12,9344.98,4772.2,4572.78,0.4893
SO000087,20230328,C00196,P0021,11,1034.07,0.1,11374.77,1137.48,10237.29,4554.44,5682.85,0.5551
SO000088,20220120,C00181,P0017,12,1129.3,0.1,13551.6,1355.16,12196.44,9187.32,3009.12,0.2467
SO000089,20220605,C00345,P0011,9,612.61,0.15,5513.49,827.02,4686.47,2910.78,1775.69,0.3789
SO000090,20230706,C00458,P0019,3,133.67,0.15,401.01,60.15,340.86,159.39,181.47,0.5324
SO000091,20230426,C00256,P0007,12,213.28,0.0,2559.36,0.0,2559.36,1726.32,833.04,0.3255
SO000092,20231231,C00428,P0008,5,1292.98,0.1,6464.9,646.49,5818.41,2888.65,2929.76,0.5035
SO000093,20241005,C00490,P0022,10,316.23,0.0,3162.3,0.0,3162.3,1541.0,1621.3,0.5127
SO000094,20240131,C00435,P0016,10,794.81,0.0,7948.1,0.0,7948.1,3686.5,4261.6,0.5362
SO000095,20241002,C00295,P0009,3,207.23,0.2,621.69,124.34,497.35,296.88,200.47,0.4031
SO000096,20220920,C00114,P0019,1,133.67,0.05,133.67,6.68,126.99,53.13,73.86,0.5816
SO000097,20231213,C00017,P0017,10,1129.3,0.15,11293.0,1693.95,9599.05,7656.1,1942.95,0.2024
SO000099,20231029,C00298,P0004,6,1701.98,0.05,10211.88,510.59,9701.29,3998.76,5702.53,0.5878
SO000100,20240823,C00122,P0009,10,207.23,0.0,2072.3,0.0,2072.3,989.6,1082.7,0.5225
SO000101,20240118,C00215,P0012,7,1402.52,0.0,9817.64,0.0,9817.64,4398.94,5418.7,0.5519
SO000102,20230414,C00295,P0022,2,316.23,0.1,632.46,63.25,569.21,308.2,261.01,0.4585
SO000103,20230206,C00439,P0013,3,183.15,0.1,549.45,54.95,494.5,298.8,195.7,0.3958
SO000104,20240513,C00005,P0006,8,769.69,0.0,6157.52,0.0,6157.52,4529.2,1628.32,0.2644
SO000105,20240923,C00274,P0011,5,612.61,0.0,3063.05,0.0,3063.05,1617.1,1445.95,0.4721
SO000106,20220503,C00051,P0006,4,769.69,0.1,3078.76,307.88,2770.88,2264.6,506.28,0.1827
SO000107,20230617,C00231,P0011,6,612.61,0.0,3675.66,0.0,3675.66,1940.52,1735.14,0.4721
SO000108,20240423,C00177,P0001,2,1184.23,0.0,2368.46,0.0,2368.46,1061.76,1306.7,0.5517
SO000109,20221224,C00296,P0019,8,133.67,0.0,1069.36,0.0,1069.36,425.04,644.32,0.6025
SO000110,20220610,C00378,P0015,7,1099.41,0.05,7695.87,384.79,7311.08,3340.54,3970.54,0.5431
SO000111,20231122,C00445,P0006,10,769.69,0.05,7696.9,384.85,7312.05,5661.5,1650.55,0.2257
SO000112,20221128,C00037,P0003,9,329.69,0.0,2967.21,0.0,2967.21,1701.63,1265.58,0.4265
SO000113,20240320,C00137,P0020,5,1298.32,0.15,6491.6,973.74,5517.86,3367.35,2150.51,0.3897
SO000114,20241202,C00383,P0019,12,133.67,0.0,1604.04,0.0,1604.04,637.56,966.48,0.6025
SO000115,20230531,C00373,P0008,12,1292.98,0.1,15515.76,1551.58,13964.18,6932.76,7031.42,0.5035
SO000116,20220511,C00053,P0004,8,1701.98,0.05,13615.84,680.79,12935.05,5331.68,7603.37,0.5878
SO000117,20220801,C00392,P0003,5,329.69,0.05,1648.45,82.42,1566.03,945.35,620.68,0.3963
SO000118,20230415,C00200,P0010,4,407.06,0.1,1628.24,162.82,1465.42,648.88,816.54,0.5572
SO000119,20220228,C00270,P0006,1,769.69,0.05,769.69,38.48,731.21,566.15,165.06,0.2257
SO000120,20230712,C00244,P0015,9,1099.41,0.0,9894.69,0.0,9894.69,4294.98,5599.71,0.5659
SO000121,20240724,C00091,P0019,11,133.67,0.1,1470.37,147.04,1323.33,584.43,738.9,0.5584
SO000122,20241229,C00328,P0021,8,1034.07,0.15,8272.56,1240.88,7031.68,3312.32,3719.36,0.5289
SO000123,20230923,C00046,P0015,6,1099.41,0.0,6596.46,0.0,6596.46,2863.32,3733.14,0.5659
SO000125,20230906,C00485,P0016,1,794.81,0.1,794.81,79.48,715.33,368.65,346.68,0.4846
SO000126,20240205,C00408,P0001,4,1184.23,0.0,4736.92,0.0,4736.92,2123.52,2613.4,0.5517
SO000127,20240309,C00084,P0021,7,1034.07,0.0,7238.49,0.0,7238.49,2898.28,4340.21,0.5996
SO000128,20230711,C00265,P0020,5,1298.32,0.05,6491.6,324.58,6167.02,3367.35,2799.67,0.454
SO000129,20230109,C00097,P0003,3,329.69,0.0,989.07,0.0,989.07,567.21,421.86,0.4265
SO000130,20241004,C00140,P0020,4,1298.32,0.0,5193.28,0.0,5193.28,2693.88,2499.4,0.4813
SO000131,20220729,C00012,P0006,5,769.69,0.0,3848.45,0.0,3848.45,2830.75,1017.7,0.2644
SO000132,20221105,C00120,P0003,2,329.69,0.0,659.38,0.0,659.38,378.14,281.24,0.4265
SO000133,20240131,C00410,P0016,8,794.81,0.05,6358.48,317.92,6040.56,2949.2,3091.36,0.5118
SO000134,20220425,C00385,P0005,5,483.19,0.1,2415.95,241.59,2174.36,1221.05,953.31,0.4384
SO000135,20240221,C00099,P0009,1,207.23,0.0,207.23,0.0,207.23,98.96,108.27,0.5225
SO000136,20230522,C00395,P0015,12,1099.41,0.2,13192.92,2638.58,10554.34,5726.64,4827.7,0.4574
SO000137,20230303,C00049,P0017,8,1129.3,0.0,9034.4,0.0,9034.4,6124.88,2909.52,0.322
SO000138,20220328,C00082,P0021,12,1034.07,0.15,12408.84,1861.33,10547.51,4968.48,5579.03,0.5289
SO000139,20230211,C00327,P0010,6,407.06,0.15,2442.36,366.35,2076.01,973.32,1102.69,0.5312
SO000140,20240608,C00058,P0008,6,1292.98,0.0,7757.88,0.0,7757.88,3466.38,4291.5,0.5532
SO000141,20220119,C00203,P0008,1,1292.98,0.05,1292.98,64.65,1228.33,577.73,650.6,0.5297
SO000142,20220703,C00080,P0012,4,1402.52,0.0,5610.08,0.0,5610.08,2513.68,3096.4,0.5519
SO000143,20220503,C00477,P0021,1,1034.07,0.0,1034.07,0.0,1034.07,414.04,620.03,0.5996
SO000144,20240926,C00055,P0005,4,483.19,0.0,1932.76,0.0,1932.76,976.84,955.92,0.4946
SO000145,20230131,C00178,P0015,1,1099.41,0.05,1099.41,54.97,1044.44,477.22,567.22,0.5431
SO000146,20240920,C00461,P0002,12,239.03,0.0,2868.36,0.0,2868.36,1254.12,1614.24,0.5628
SO000147,20230118,C00098,P0019,9,133.67,0.0,1203.03,0.0,1203.03,478.17,724.86,0.6025
SO000148,20221125,C00426,P0020,3,1298.32,0.05,3894.96,194.75,3700.21,2020.41,1679.8,0.454
SO000149,20240718,C00278,P0012,1,1402.52,0.1,1402.52,140.25,1262.27,628.42,633.85,0.5022
SO000150,20240116,C00453,P0001,10,1184.23,0.0,11842.3,0.0,11842.3,5308.8,6533.5,0.5517
SO000151,20230124,C00276,P0013,9,183.15,0.05,1648.35,82.42,1565.93,896.4,669.53,0.4276
SO000152,20240419,C00145,P0011,11,612.61,0.0,6738.71,0.0,6738.71,3557.62,3181.09,0.4721
SO000153,20230101,C00023,P0005,1,483.19,0.0,483.19,0.0,483.19,244.21,238.98,0.4946
SO000154,20240306,C00293,P0021,11,1034.07,0.0,11374.77,0.0,11374.77,4554.44,6820.33,0.5996
SO000156,20220613,C00336,P0016,8,794.81,0.1,6358.48,635.85,5722.63,2949.2,2773.43,0.4846
SO000157,20240126,C00481,P0014,12,1773.38,0.0,21280.56,0.0,21280.56,8908.8,12371.76,0.5814
SO000158,20230915,C00376,P0003,2,329.69,0.15,659.38,98.91,560.47,378.14,182.33,0.3253
SO000159,20241224,C00372,P0008,10,1292.98,0.0,12929.8,0.0,12929.8,5777.3,7152.5,0.5532
SO000160,20240430,C00321,P0006,12,769.69,0.0,9236.28,0.0,9236.28,6793.8,2442.48,0.2644
SO000161,20240524,C00235,P0022,2,316.23,0.0,632.46,0.0,632.46,308.2,324.26,0.5127
SO000162,20221120,C00173,P0022,13,316.23,0.2,4110.99,822.2,3288.79,2003.3,1285.49,0.3909
SO000163,20231027,C00162,P0018,6,808.88,0.0,4853.28,0.0,4853.28,2439.48,2413.8,0.4974
SO000164,20230508,C00166,P0020,10,1298.32,0.05,12983.2,649.16,12334.04,6734.7,5599.34,0.454
SO000165,20240108,C00382,P0009,8,207.23,0.0,1657.84,0.0,1657.84,791.68,866.16,0.5225
SO000166,20220203,C00146,P0020,9,1298.32,0.0,11684.88,0.0,11684.88,6061.23,5623.65,0.4813
SO000167,20231007,C00114,P0007,1,213.28,0.1,213.28,21.33,191.95,143.86,48.09,0.2505
SO000168,20241113,C00471,P0018,13,808.88,0.05,10515.44,525.77,9989.67,5285.54,4704.13,0.4709
SO000169,20221116,C00236,P0012,5,1402.52,0.0,7012.6,0.0,7012.6,3142.1,3870.5,0.5519
SO000170,20220708,C00132,P0010,10,407.06,0.0,4070.6,0.0,4070.6,1622.2,2448.4,0.6015
SO000171,20240915,C00371,P0011,3,612.61,0.0,1837.83,0.0,1837.83,970.26,867.57,0.4721
SO000172,20230908,C00420,P0004,1,1701.98,0.1,1701.98,170.2,1531.78,666.46,865.32,0.5649
SO000173,20231214,C00029,P0011,10,612.61,0.0,6126.1,0.0,6126.1,3234.2,2891.9,0.4721
SO000174,20220124,C00117,P0021,11,1034.07,0.1,11374.77,1137.48,10237.29,4554.44,5682.85,0.5551
SO000175,20221103,C00022,P0011,9,612.61,0.05,5513.49,275.67,5237.82,2910.78,2327.04,0.4443
SO000176,20240701,C00375,P0013,10,183.15,0.05,1831.5,91.58,1739.92,996.0,743.92,0.4276
SO000177,20221031,C00403,P0013,3,183.15,0.0,549.45,0.0,549.45,298.8,250.65,0.4562
SO000178,20230622,C00281,P0013,2,183.15,0.0,366.3,0.0,366.3,199.2,167.1,0.4562
SO000179,20240911,C00391,P0005,9,483.19,0.0,4348.71,0.0,4348.71,2197.89,2150.82,0.4946
SO000180,20241209,C00288,P0020,6,1298.32,0.0,7789.92,0.0,7789.92,4040.82,3749.1,0.4813
SO000181,20220703,C00351,P0019,2,133.67,0.05,267.34,13.37,253.97,106.26,147.71,0.5816
SO000182,20220219,C00165,P0012,5,1402.52,0.0,7012.6,0.0,7012.6,3142.1,3870.5,0.5519
SO000183,20221026,C00412,P0015,8,1099.41,0.0,8795.28,0.0,8795.28,3817.76,4977.52,0.5659
SO000184,20220625,C00192,P0005,2,483.19,0.1,966.38,96.64,869.74,488.42,381.32,0.4384
SO000185,20220129,C00076,P0010,6,407.06,0.05,2442.36,122.12,2320.24,973.32,1346.92,0.5805
SO000186,20230305,C00012,P0011,12,612.61,0.05,7351.32,367.57,6983.75,3881.04,3102.71,0.4443
SO000187,20240916,C00133,P0018,10,808.88,0.1,8088.8,808.88,7279.92,4065.8,3214.12,0.4415
SO000188,20241214,C00010,P0013,2,183.15,0.0,366.3,0.0,366.3,199.2,167.1,0.4562
SO000189,20230710,C00357,P0020,1,1298.32,0.0,1298.32,0.0,1298.32,673.47,624.85,0.4813
SO000190,20240108,C00339,P0009,2,207.23,0.0,414.46,0.0,414.46,197.92,216.54,0.5225
SO000191,20241107,C00119,P0013,17,183.15,0.0,3113.55,0.0,3113.55,1693.2,1420.35,0.4562
SO000192,20230117,C00273,P0003,4,329.69,0.05,1318.76,65.94,1252.82,756.28,496.54,0.3963
SO000193,20230522,C00012,P0002,9,239.03,0.0,2151.27,0.0,2151.27,940.59,1210.68,0.5628
SO000194,20231222,C00010,P0012,9,1402.52,0.05,12622.68,631.13,11991.55,5655.78,6335.77,0.5284
SO000195,20220507,C00257,P0009,11,207.23,0.0,2279.53,0.0,2279.53,1088.56,1190.97,0.5225
SO000196,20230728,C00016,P0018,4,808.88,0.0,3235.52,0.0,3235.52,1626.32,1609.2,0.4974
SO000197,20241202,C00045,P0013,16,183.15,0.05,2930.4,146.52,2783.88,1593.6,1190.28,0.4276
SO000198,20221109,C00124,P0019,10,133.67,0.2,1336.7,267.34,1069.36,531.3,538.06,0.5032
SO000199,20230228,C00278,P0005,11,483.19,0.0,5315.09,0.0,5315.09,2686.31,2628.78,0.4946
SO000200,20230925,C00442,P0005,12,483.19,0.1,5798.28,579.83,5218.45,2930.52,2287.93,0.4384
SO000201,20221120,C00466,P0005,9,483.19,0.0,4348.71,0.0,4348.71,2197.89,2150.82,0.4946
SO000202,20221026,C00095,P0011,12,612.61,0.0,7351.32,0.0,7351.32,3881.04,3470.28,0.4721
SO000203,20230914,C00493,P0014,8,1773.38,0.1,14187.04,1418.7,12768.34,5939.2,6829.14,0.5348
SO000204,20221108,C00379,P0009,6,207.23,0.0,1243.38,0.0,1243.38,593.76,649.62,0.5225
SO000205,20230701,C00314,P0020,10,1298.32,0.05,12983.2,649.16,12334.04,6734.7,5599.34,0.454
SO000206,20240106,C00352,P0001,2,1184.23,0.05,2368.46,118.42,2250.04,1061.76,1188.28,0.5281
SO000207,20240205,C00310,P0016,3,794.81,0.15,2384.43,357.66,2026.77,1105.95,920.82,0.4543
SO000208,20220308,C00099,P0008,7,1292.98,0.1,9050.86,905.09,8145.77,4044.11,4101.66,0.5035
SO000209,20230220,C00212,P0008,4,1292.98,0.0,5171.92,0.0,5171.92,2310.92,2861.0,0.5532
SO000210,20240930,C00444,P0020,12,1298.32,0.0,15579.84,0.0,15579.84,8081.64,7498.2,0.4813
SO000211,20240219,C00208,P0002,12,239.03,0.0,2868.36,0.0,2868.36,1254.12,1614.24,0.5628
SO000212,20241211,C00305,P0018,16,808.88,0.15,12942.08,1941.31,11000.77,6505.28,4495.49,0.4087
SO000213,20220328,C00232,P0015,4,1099.41,0.05,4397.64,219.88,4177.76,1908.88,2268.88,0.5431
SO000214,20241123,C00286,P0013,16,183.15,0.2,2930.4,586.08,2344.32,1593.6,750.72,0.3202
SO000215,20230809,C00453,P0010,8,407.06,0.0,3256.48,0.0,3256.48,1297.76,1958.72,0.6015
SO000216,20221019,C00354,P0017,8,1129.3,0.1,9034.4,903.44,8130.96,6124.88,2006.08,0.2467
SO000217,20221005,C00058,P0006,7,769.69,0.0,5387.83,0.0,5387.83,3963.05,1424.78,0.2644
SO000218,20240720,C00303,P0007,2,213.28,0.0,426.56,0.0,426.56,287.72,138.84,0.3255
SO000219,20220911,C00408,P0006,2,769.69,0.0,1539.38,0.0,1539.38,1132.3,407.08,0.2644
SO000220,20241113,C00269,P0013,15,183.15,0.15,2747.25,412.09,2335.16,1494.0,841.16,0.3602
SO000221,20231118,C00394,P0006,15,769.69,0.15,11545.35,1731.8,9813.55,8492.25,1321.3,0.1346
SO000222,20220416,C00075,P0006,7,769.69,0.0,5387.83,0.0,5387.83,3963.05,1424.78,0.2644
SO000223,20230106,C00148,P0021,2,1034.07,0.15,2068.14,310.22,1757.9199999999998,828.08,929.84,0.5289
SO000224,20220126,C00392,P0009,8,207.23,0.0,1657.84,0.0,1657.84,791.68,866.16,0.5225
SO000225,20230503,C00312,P0016,4,794.81,0.05,3179.24,158.96,3020.28,1474.6,1545.68,0.5118
SO000226,20220114,C00041,P0020,4,1298.32,0.15,5193.28,778.99,4414.29,2693.88,1720.41,0.3897
SO000227,20220411,C00420,P0007,3,213.28,0.0,639.84,0.0,639.84,431.58,208.26,0.3255
SO000228,20230904,C00438,P0002,6,239.03,0.15,1434.18,215.13,1219.05,627.06,591.99,0.4856
SO000229,20230806,C00092,P0006,10,769.69,0.05,7696.9,384.85,7312.05,5661.5,1650.55,0.2257
SO000230,20240721,C00288,P0006,12,769.69,0.05,9236.28,461.81,8774.47,6793.8,1980.67,0.2257
SO000231,20240125,C00154,P0011,7,612.61,0.1,4288.27,428.83,3859.44,2263.94,1595.5,0.4134
SO000232,20240822,C00034,P0010,3,407.06,0.0,1221.18,0.0,1221.18,486.66,734.52,0.6015
SO000233,20230306,C00212,P0017,12,1129.3,0.0,13551.6,0.0,13551.6,9187.32,4364.28,0.322
SO000234,20220629,C00323,P0017,8,1129.3,0.1,9034.4,903.44,8130.96,6124.88,2006.08,0.2467
SO000235,20240524,C00362,P0010,10,407.06,0.1,4070.6,407.06,3663.54,1622.2,2041.34,0.5572
SO000236,20220923,C00320,P0012,10,1402.52,0.05,14025.2,701.26,13323.94,6284.2,7039.74,0.5284
SO000237,20230422,C00253,P0006,12,769.69,0.0,9236.28,0.0,9236.28,6793.8,2442.48,0.2644
SO000238,20220830,C00239,P0021,12,1034.07,0.1,12408.84,1240.88,11167.96,4968.48,6199.48,0.5551
SO000239,20231115,C00212,P0002,9,239.03,0.05,2151.27,107.56,2043.71,940.59,1103.12,0.5398
SO000240,20230606,C00104,P0010,2,407.06,0.0,814.12,0.0,814.12,324.44,489.68,0.6015
SO000241,20231114,C00004,P0004,9,1701.98,0.0,15317.82,0.0,15317.82,5998.14,9319.68,0.6084
SO000242,20230202,C00427,P0006,6,769.69,0.1,4618.14,461.81,4156.33,3396.9,759.43,0.1827
SO000243,20221006,C00243,P0002,8,239.03,0.0,1912.24,0.0,1912.24,836.08,1076.16,0.5628
SO000244,20240805,C00459,P0011,7,612.61,0.15,4288.27,643.24,3645.03,2263.94,1381.09,0.3789
SO000245,20231009,C00290,P0022,9,316.23,0.05,2846.07,142.3,2703.77,1386.9,1316.87,0.487
SO000246,20220516,C00410,P0012,3,1402.52,0.0,4207.56,0.0,4207.56,1885.26,2322.3,0.5519
SO000247,20221206,C00321,P0018,15,808.88,0.05,12133.2,606.66,11526.54,6098.7,5427.84,0.4709
SO000248,20231007,C00401,P0010,12,407.06,0.0,4884.72,0.0,4884.72,1946.64,2938.08,0.6015
SO000249,20240714,C00122,P0012,5,1402.52,0.0,7012.6,0.0,7012.6,3142.1,3870.5,0.5519
SO000250,20230218,C00402,P0002,2,239.03,0.0,478.06,0.0,478.06,209.02,269.04,0.5628
SO000251,20230125,C00257,P0005,6,483.19,0.15,2899.14,434.87,2464.27,1465.26,999.01,0.4054
SO000252,20221021,C00398,P0011,2,612.61,0.1,1225.22,122.52,1102.7,646.84,455.86,0.4134
SO000253,20220316,C00068,P0007,8,213.28,0.0,1706.24,0.0,1706.24,1150.88,555.36,0.3255
SO000254,20220628,C00160,P0002,6,239.03,0.0,1434.18,0.0,1434.18,627.06,807.12,0.5628
SO000255,20220216,C00338,P0010,10,407.06,0.1,4070.6,407.06,3663.54,1622.2,2041.34,0.5572
