order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,gross_amount,discount_amount,net_revenue,total_cost
SO000022,2023-06-14,C00421,P0008,7,1292.98,0.0,9050.86,0.0,9050.86,4044.11
SO000023,2022-08-31,C00009,P0013,9,183.15,0.0,1648.35,0.0,1648.35,896.4
SO000024,2022-04-04,C00382,P0019,12,133.67,0.1,1604.04,160.4,1443.64,637.56
SO000025,2023-09-10,C00149,P0022,10,316.23,0.0,3162.3,0.0,3162.3,1541.0
SO000026,2022-03-05,C00203,P0022,8,316.23,0.0,2529.84,0.0,2529.84,1232.8
SO000027,2023-08-28,C00408,P0018,11,808.88,0.0,8897.68,0.0,8897.68,4472.38
SO000028,2024-02-04,C00408,P0021,1,1034.07,0.05,1034.07,51.7,982.37,414.04
SO000029,2024-03-18,C00003,P0019,9,133.67,0.05,1203.03,60.15,1142.88,478.17
SO000030,2023-03-10,C00380,P0012,7,1402.52,0.15,9817.64,1472.65,8344.99,4398.94
SO000031,2023-06-02,C00095,P0008,4,1292.98,0.0,5171.92,0.0,5171.92,2310.92
SO000032,2024-08-02,C00028,P0018,11,808.88,0.05,8897.68,444.88,8452.8,4472.38
SO000033,2024-09-24,C00051,P0007,6,213.28,0.0,1279.68,0.0,1279.68,863.16
SO000034,2022-05-23,C00146,P0020,4,1298.32,0.0,5193.28,0.0,5193.28,2693.88
SO000035,2022-11-09,C00157,P0019,15,133.67,0.05,2005.05,100.25,1904.8,796.95
SO000036,2023-10-04,C00087,P0001,4,1184.23,0.1,4736.92,473.69,4263.23,2123.52
SO000037,2022-10-03,C00142,P0012,11,1402.52,0.1,15427.72,1542.77,13884.95,6912.62
SO000038,2024-09-24,C00184,P0010,9,407.06,0.0,3663.54,0.0,3663.54,1459.98
SO000039,2023-02-07,C00144,P0005,5,483.19,0.1,2415.95,241.59,2174.36,1221.05
SO000040,2024-11-04,C00457,P0001,16,1184.23,0.0,18947.68,0.0,18947.68,8494.08
SO000041,2022-03-17,C00303,P0007,9,213.28,0.0,1919.52,0.0,1919.52,1294.74
SO000042,2024-01-20,C00335,P0005,7,483.19,0.0,3382.33,0.0,3382.33,1709.47
SO000043,2024-08-09,C00149,P0005,9,483.19,0.05,4348.71,217.44,4131.27,2197.89
SO000044,2022-12-06,C00340,P0008,13,1292.98,0.0,16808.74,0.0,16808.74,7510.49
SO000045,2022-10-27,C00290,P0022,12,316.23,0.1,3794.76,379.48,3415.28,1849.2
SO000046,2023-04-20,C00390,P0016,2,794.81,0.0,1589.62,0.0,1589.62,737.3
SO000047,2024-03-05,C00266,P0012,8,1402.52,0.15,11220.16,1683.02,9537.14,5027.36
SO000048,2022-07-31,C00333,P0011,12,612.61,0.2,7351.32,1470.26,5881.06,3881.04
SO000049,2022-12-23,C00380,P0009,10,207.23,0.05,2072.3,103.62,1968.68,989.6
SO000050,2024-11-24,C00428,P0003,8,329.69,0.0,2637.52,0.0,2637.52,1512.56
SO000051,2024-09-24,C00181,P0012,-1,1402.52,0.15,11220.16,1683.02,9537.14,5027.36
SO000052,2023-04-17,C00226,P0006,2,769.69,0.05,1539.38,76.97,1462.41,1132.3
SO000053,2022-08-31,C00081,P0012,11,1402.52,0.0,15427.72,0.0,15427.72,6912.62
SO000054,2024-09-07,C00247,P0022,8,316.23,0.0,2529.84,0.0,2529.84,1232.8
SO000055,2022-03-30,C00012,P0008,3,1292.98,0.05,3878.94,193.95,3684.99,1733.19
SO000056,2022-10-28,C00021,P0019,1,133.67,0.0,133.67,0.0,133.67,53.13
SO000057,2022-02-08,C00208,P0020,12,1298.32,0.1,15579.84,1557.98,14021.86,8081.64
SO000058,2024-08-23,C00111,P0015,8,1099.41,0.0,8795.28,0.0,8795.28,3817.76
SO000059,2023-01-08,C00407,P0019,10,133.67,0.05,1336.7,66.84,1269.86,531.3
SO000060,2022-05-21,C00176,P0015,4,1099.41,0.0,4397.64,0.0,4397.64,1908.88
SO000061,2024-05-09,C00268,P0017,3,1129.3,0.05,3387.9,169.4,3218.5,2296.83
SO000062,2024-12-24,C00308,P0002,13,239.03,0.1,3107.39,310.74,2796.65,1358.63
SO000063,2022-01-03,C00462,P0020,11,1298.32,0.05,14281.52,714.08,13567.44,7408.17
SO000064,2024-05-28,C00023,P0017,4,1129.3,0.15,4517.2,677.58,3839.62,3062.44
SO000065,2022-07-20,C00180,P0019,7,133.67,0.0,935.69,0.0,935.69,371.91
SO000066,2023-08-04,C00440,P0003,10,329.69,0.15,3296.9,494.53,2802.37,1890.7
SO000067,2024-12-06,C00364,P0001,3,1184.23,0.05,3552.69,177.63,3375.06,1592.64
SO000068,2024-04-17,C00412,P0011,6,612.61,0.0,3675.66,0.0,3675.66,1940.52
SO000069,2024-05-17,C00134,P0018,10,808.88,0.0,8088.8,0.0,8088.8,4065.8
SO000070,2024-04-26,C00387,P0007,9,213.28,0.1,1919.52,191.95,1727.57,1294.74
SO000071,2023-06-04,C00285,P0016,5,794.81,0.05,3974.05,198.7,3775.35,1843.25
SO000072,2022-09-01,C00071,P0022,12,316.23,0.0,3794.76,0.0,3794.76,1849.2
SO000073,2024-11-07,C00052,P0007,10,213.28,0.1,2132.8,213.28,1919.52,1438.6
SO000074,2022-11-26,C00351,P0002,-1,239.03,0.2,2390.3,478.06,1912.24,1045.1
SO000075,2024-06-10,C00075,P0016,2,794.81,0.0,1589.62,0.0,1589.62,737.3
SO000076,2024-03-31,C00020,P0013,10,183.15,0.05,1831.5,91.58,1739.92,996.0
SO000077,2024-10-09,C00030,P0006,8,769.69,0.0,6157.52,0.0,6157.52,4529.2
SO000078,2023-02-03,C00266,P0010,1,407.06,0.1,407.06,40.71,366.35,162.22
SO000079,2022-03-15,C00315,P0006,-1,769.69,0.0,4618.14,0.0,4618.14,3396.9
SO000080,2023-12-25,C00142,P0013,16,183.15,0.0,2930.4,0.0,2930.4,1593.6
SO000081,2022-07-04,C00378,P0003,9,329.69,0.0,2967.21,0.0,2967.21,1701.63
SO000082,2023-07-21,C00179,P0012,4,1402.52,0.05,5610.08,280.5,5329.58,2513.68
SO000083,2023-06-19,C00295,P0001,3,1184.23,0.0,3552.69,0.0,3552.69,1592.64
SO000084,2022-08-28,C00151,P0011,9,612.61,0.2,5513.49,1102.7,4410.79,2910.78
SO000085,2024-06-25,C00295,P0009,7,207.23,0.05,1450.61,72.53,1378.08,692.72
SO000086,2024-08-01,C00493,P0015,10,1099.41,0.15,10994.1,1649.12,9344.98,4772.2
SO000087,2023-03-28,C00196,P0021,11,1034.07,0.1,11374.77,1137.48,10237.29,4554.44
SO000088,2022-01-20,C00181,P0017,12,1129.3,0.1,13551.6,1355.16,12196.44,9187.32
SO000089,2022-06-05,C00345,P0011,9,612.61,0.15,5513.49,827.02,4686.47,2910.78
SO000090,2023-07-06,C00458,P0019,3,133.67,0.15,401.01,60.15,340.86,159.39
SO000091,2023-04-26,C00256,P0007,12,213.28,0.0,2559.36,0.0,2559.36,1726.32
SO000092,2023-12-31,C00428,P0008,5,1292.98,0.1,6464.9,646.49,5818.41,2888.65
SO000093,2024-10-05,C00490,P0022,10,316.23,0.0,3162.3,0.0,3162.3,1541.0
SO000094,2024-01-31,C00435,P0016,10,794.81,0.0,7948.1,0.0,7948.1,3686.5
SO000095,2024-10-02,C00295,P0009,3,207.23,0.2,621.69,124.34,497.35,296.88
SO000096,2022-09-20,C00114,P0019,1,133.67,0.05,133.67,6.68,126.99,53.13
SO000097,2023-12-13,C00017,P0017,10,1129.3,0.15,11293.0,1693.95,9599.05,7656.1
SO000098,2024-07-31,C00062,P0017,-1,1129.3,0.05,6775.8,338.79,6437.01,4593.66
SO000099,2023-10-29,C00298,P0004,6,1701.98,0.05,10211.88,510.59,9701.29,3998.76
SO000100,2024-08-23,C00122,P0009,10,207.23,0.0,2072.3,0.0,2072.3,989.6
SO000101,2024-01-18,C00215,P0012,7,1402.52,0.0,9817.64,0.0,9817.64,4398.94
SO000102,2023-04-14,C00295,P0022,2,316.23,0.1,632.46,63.25,569.21,308.2
SO000103,2023-02-06,C00439,P0013,3,183.15,0.1,549.45,54.95,494.5,298.8
SO000104,2024-05-13,C00005,P0006,8,769.69,0.0,6157.52,0.0,6157.52,4529.2
SO000105,2024-09-23,C00274,P0011,5,612.61,0.0,3063.05,0.0,3063.05,1617.1
SO000106,2022-05-03,C00051,P0006,4,769.69,0.1,3078.76,307.88,2770.88,2264.6
SO000107,2023-06-17,C00231,P0011,6,612.61,0.0,3675.66,0.0,3675.66,1940.52
SO000108,2024-04-23,C00177,P0001,2,1184.23,0.0,2368.46,0.0,2368.46,1061.76
SO000109,2022-12-24,C00296,P0019,8,133.67,0.0,1069.36,0.0,1069.36,425.04
SO000110,2022-06-10,C00378,P0015,7,1099.41,0.05,7695.87,384.79,7311.08,3340.54
SO000111,2023-11-22,C00445,P0006,10,769.69,0.05,7696.9,384.85,7312.05,5661.5
SO000112,2022-11-28,C00037,P0003,9,329.69,0.0,2967.21,0.0,2967.21,1701.63
SO000113,2024-03-20,C00137,P0020,5,1298.32,0.15,6491.6,973.74,5517.86,3367.35
SO000114,2024-12-02,C00383,P0019,12,133.67,0.0,1604.04,0.0,1604.04,637.56
SO000115,2023-05-31,C00373,P0008,12,1292.98,0.1,15515.76,1551.58,13964.18,6932.76
SO000116,2022-05-11,C00053,P0004,8,1701.98,0.05,13615.84,680.79,12935.05,5331.68
SO000117,2022-08-01,C00392,P0003,5,329.69,0.05,1648.45,82.42,1566.03,945.35
SO000118,2023-04-15,C00200,P0010,4,407.06,0.1,1628.24,162.82,1465.42,648.88
SO000119,2022-02-28,C00270,P0006,1,769.69,0.05,769.69,38.48,731.21,566.15
SO000120,2023-07-12,C00244,P0015,9,1099.41,0.0,9894.69,0.0,9894.69,4294.98
SO000121,2024-07-24,C00091,P0019,11,133.67,0.1,1470.37,147.04,1323.33,584.43
SO000122,2024-12-29,C00328,P0021,8,1034.07,0.15,8272.56,1240.88,7031.68,3312.32
SO000123,2023-09-23,C00046,P0015,6,1099.41,0.0,6596.46,0.0,6596.46,2863.32
SO000124,2023-12-06,C00268,P0005,-1,483.19,0.0,3865.52,0.0,3865.52,1953.68
SO000125,2023-09-06,C00485,P0016,1,794.81,0.1,794.81,79.48,715.33,368.65
SO000126,2024-02-05,C00408,P0001,4,1184.23,0.0,4736.92,0.0,4736.92,2123.52
SO000127,2024-03-09,C00084,P0021,7,1034.07,0.0,7238.49,0.0,7238.49,2898.28
SO000128,2023-07-11,C00265,P0020,5,1298.32,0.05,6491.6,324.58,6167.02,3367.35
SO000129,2023-01-09,C00097,P0003,3,329.69,0.0,989.07,0.0,989.07,567.21
SO000130,2024-10-04,C00140,P0020,4,1298.32,0.0,5193.28,0.0,5193.28,2693.88
SO000131,2022-07-29,C00012,P0006,5,769.69,0.0,3848.45,0.0,3848.45,2830.75
SO000132,2022-11-05,C00120,P0003,2,329.69,0.0,659.38,0.0,659.38,378.14
SO000133,2024-01-31,C00410,P0016,8,794.81,0.05,6358.48,317.92,6040.56,2949.2
SO000134,2022-04-25,C00385,P0005,5,483.19,0.1,2415.95,241.59,2174.36,1221.05
SO000135,2024-02-21,C00099,P0009,1,207.23,0.0,207.23,0.0,207.23,98.96
SO000136,2023-05-22,C00395,P0015,12,1099.41,0.2,13192.92,2638.58,10554.34,5726.64
SO000137,2023-03-03,C00049,P0017,8,1129.3,0.0,9034.4,0.0,9034.4,6124.88
SO000138,2022-03-28,C00082,P0021,12,1034.07,0.15,12408.84,1861.33,10547.51,4968.48
SO000139,2023-02-11,C00327,P0010,6,407.06,0.15,2442.36,366.35,2076.01,973.32
SO000140,2024-06-08,C00058,P0008,6,1292.98,0.0,7757.88,0.0,7757.88,3466.38
SO000141,2022-01-19,C00203,P0008,1,1292.98,0.05,1292.98,64.65,1228.33,577.73
SO000142,2022-07-03,C00080,P0012,4,1402.52,0.0,5610.08,0.0,5610.08,2513.68
SO000143,2022-05-03,C00477,P0021,1,1034.07,0.0,1034.07,0.0,1034.07,414.04
SO000144,2024-09-26,C00055,P0005,4,483.19,0.0,1932.76,0.0,1932.76,976.84
SO000145,2023-01-31,C00178,P0015,1,1099.41,0.05,1099.41,54.97,1044.44,477.22
SO000146,2024-09-20,C00461,P0002,12,239.03,0.0,2868.36,0.0,2868.36,1254.12
SO000147,2023-01-18,C00098,P0019,9,133.67,0.0,1203.03,0.0,1203.03,478.17
SO000148,2022-11-25,C00426,P0020,3,1298.32,0.05,3894.96,194.75,3700.21,2020.41
SO000149,2024-07-18,C00278,P0012,1,1402.52,0.1,1402.52,140.25,1262.27,628.42
SO000150,2024-01-16,C00453,P0001,10,1184.23,0.0,11842.3,0.0,11842.3,5308.8
SO000151,2023-01-24,C00276,P0013,9,183.15,0.05,1648.35,82.42,1565.93,896.4
SO000152,2024-04-19,C00145,P0011,11,612.61,0.0,6738.71,0.0,6738.71,3557.62
SO000153,2023-01-01,C00023,P0005,1,483.19,0.0,483.19,0.0,483.19,244.21
SO000154,2024-03-06,C00293,P0021,11,1034.07,0.0,11374.77,0.0,11374.77,4554.44
SO000155,2023-03-29,C00026,P0012,-1,1402.52,0.1,14025.2,1402.52,12622.68,6284.2
SO000156,2022-06-13,C00336,P0016,8,794.81,0.1,6358.48,635.85,5722.63,2949.2
SO000157,2024-01-26,C00481,P0014,12,1773.38,0.0,21280.56,0.0,21280.56,8908.8
SO000158,2023-09-15,C00376,P0003,2,329.69,0.15,659.38,98.91,560.47,378.14
SO000159,2024-12-24,C00372,P0008,10,1292.98,0.0,12929.8,0.0,12929.8,5777.3
SO000160,2024-04-30,C00321,P0006,12,769.69,0.0,9236.28,0.0,9236.28,6793.8
SO000161,2024-05-24,C00235,P0022,2,316.23,0.0,632.46,0.0,632.46,308.2
SO000162,2022-11-20,C00173,P0022,13,316.23,0.2,4110.99,822.2,3288.79,2003.3
SO000163,2023-10-27,C00162,P0018,6,808.88,0.0,4853.28,0.0,4853.28,2439.48
SO000164,2023-05-08,C00166,P0020,10,1298.32,0.05,12983.2,649.16,12334.04,6734.7
SO000165,2024-01-08,C00382,P0009,8,207.23,0.0,1657.84,0.0,1657.84,791.68
SO000166,2022-02-03,C00146,P0020,9,1298.32,0.0,11684.88,0.0,,6061.23
SO000167,2023-10-07,C00114,P0007,1,213.28,0.1,213.28,21.33,191.95,143.86
SO000168,2024-11-13,C00471,P0018,13,808.88,0.05,10515.44,525.77,9989.67,5285.54
SO000169,2022-11-16,C00236,P0012,5,1402.52,0.0,7012.6,0.0,7012.6,3142.1
SO000170,2022-07-08,C00132,P0010,10,407.06,0.0,4070.6,0.0,4070.6,1622.2
SO000171,2024-09-15,C00371,P0011,3,612.61,0.0,1837.83,0.0,1837.83,970.26
SO000172,2023-09-08,C00420,P0004,1,1701.98,0.1,1701.98,170.2,1531.78,666.46
SO000173,2023-12-14,C00029,P0011,10,612.61,0.0,6126.1,0.0,6126.1,3234.2
SO000174,2022-01-24,C00117,P0021,11,1034.07,0.1,11374.77,1137.48,10237.29,4554.44
SO000175,2022-11-03,C00022,P0011,9,612.61,0.05,5513.49,275.67,5237.82,2910.78
SO000176,2024-07-01,C00375,P0013,10,183.15,0.05,1831.5,91.58,1739.92,996.0
SO000177,2022-10-31,C00403,P0013,3,183.15,0.0,549.45,0.0,549.45,298.8
SO000178,2023-06-22,C00281,P0013,2,183.15,0.0,366.3,0.0,366.3,199.2
SO000179,2024-09-11,C00391,P0005,9,483.19,0.0,4348.71,0.0,4348.71,2197.89
SO000180,2024-12-09,C00288,P0020,6,1298.32,0.0,7789.92,0.0,7789.92,4040.82
SO000181,2022-07-03,C00351,P0019,2,133.67,0.05,267.34,13.37,253.97,106.26
SO000182,2022-02-19,C00165,P0012,5,1402.52,0.0,7012.6,0.0,7012.6,3142.1
SO000183,2022-10-26,C00412,P0015,8,1099.41,0.0,8795.28,0.0,8795.28,3817.76
SO000184,2022-06-25,C00192,P0005,2,483.19,0.1,966.38,96.64,869.74,488.42
SO000185,2022-01-29,C00076,P0010,6,407.06,0.05,2442.36,122.12,2320.24,973.32
SO000186,2023-03-05,C00012,P0011,12,612.61,0.05,7351.32,367.57,6983.75,3881.04
SO000187,2024-09-16,C00133,P0018,10,808.88,0.1,8088.8,808.88,7279.92,4065.8
SO000188,2024-12-14,C00010,P0013,2,183.15,0.0,366.3,0.0,366.3,199.2
SO000189,2023-07-10,C00357,P0020,1,1298.32,0.0,1298.32,0.0,1298.32,673.47
SO000190,2024-01-08,C00339,P0009,2,207.23,0.0,414.46,0.0,414.46,197.92
SO000191,2024-11-07,C00119,P0013,17,183.15,0.0,3113.55,0.0,3113.55,1693.2
SO000192,2023-01-17,C00273,P0003,4,329.69,0.05,1318.76,65.94,1252.82,756.28
SO000193,2023-05-22,C00012,P0002,9,239.03,0.0,2151.27,0.0,2151.27,940.59
SO000194,2023-12-22,C00010,P0012,9,1402.52,0.05,12622.68,631.13,11991.55,5655.78
SO000195,2022-05-07,C00257,P0009,11,207.23,0.0,2279.53,0.0,2279.53,1088.56
SO000196,2023-07-28,C00016,P0018,4,808.88,0.0,3235.52,0.0,3235.52,1626.32
SO000197,2024-12-02,C00045,P0013,16,183.15,0.05,2930.4,146.52,2783.88,1593.6
SO000198,2022-11-09,C00124,P0019,10,133.67,0.2,1336.7,267.34,1069.36,531.3
SO000199,2023-02-28,C00278,P0005,11,483.19,0.0,5315.09,0.0,5315.09,2686.31
SO000200,2023-09-25,C00442,P0005,12,483.19,0.1,5798.28,579.83,5218.45,2930.52
SO000201,2022-11-20,C00466,P0005,9,483.19,0.0,4348.71,0.0,4348.71,2197.89
SO000202,2022-10-26,C00095,P0011,12,612.61,0.0,7351.32,0.0,7351.32,3881.04
SO000203,2023-09-14,C00493,P0014,8,1773.38,0.1,14187.04,1418.7,12768.34,5939.2
SO000204,2022-11-08,C00379,P0009,6,207.23,0.0,1243.38,0.0,1243.38,593.76
SO000205,2023-07-01,C00314,P0020,10,1298.32,0.05,12983.2,649.16,12334.04,6734.7
SO000206,2024-01-06,C00352,P0001,2,1184.23,0.05,2368.46,118.42,2250.04,1061.76
SO000207,2024-02-05,C00310,P0016,3,794.81,0.15,2384.43,357.66,2026.77,1105.95
SO000208,2022-03-08,C00099,P0008,7,1292.98,0.1,9050.86,905.09,8145.77,4044.11
SO000209,2023-02-20,C00212,P0008,4,1292.98,0.0,5171.92,0.0,5171.92,2310.92
SO000210,2024-09-30,C00444,P0020,12,1298.32,0.0,15579.84,0.0,15579.84,8081.64
SO000211,2024-02-19,C00208,P0002,12,239.03,0.0,2868.36,0.0,2868.36,1254.12
SO000212,2024-12-11,C00305,P0018,16,808.88,0.15,12942.08,1941.31,11000.77,6505.28
SO000213,2022-03-28,C00232,P0015,4,1099.41,0.05,4397.64,219.88,4177.76,1908.88
SO000214,2024-11-23,C00286,P0013,16,183.15,0.2,2930.4,586.08,2344.32,1593.6
SO000215,2023-08-09,C00453,P0010,8,407.06,0.0,3256.48,0.0,3256.48,1297.76
SO000216,2022-10-19,C00354,P0017,8,1129.3,0.1,9034.4,903.44,8130.96,6124.88
SO000217,2022-10-05,C00058,P0006,7,769.69,0.0,5387.83,0.0,5387.83,3963.05
SO000218,2024-07-20,C00303,P0007,2,213.28,0.0,426.56,0.0,426.56,287.72
SO000219,2022-09-11,C00408,P0006,2,769.69,0.0,1539.38,0.0,1539.38,1132.3
SO000220,2024-11-13,C00269,P0013,15,183.15,0.15,2747.25,412.09,2335.16,1494.0
SO000221,2023-11-18,C00394,P0006,15,769.69,0.15,11545.35,1731.8,9813.55,8492.25
SO000222,2022-04-16,C00075,P0006,7,769.69,0.0,5387.83,0.0,5387.83,3963.05
SO000223,2023-01-06,C00148,P0021,2,1034.07,0.15,2068.14,310.22,,828.08
SO000224,2022-01-26,C00392,P0009,8,207.23,0.0,1657.84,0.0,1657.84,791.68
SO000225,2023-05-03,C00312,P0016,4,794.81,0.05,3179.24,158.96,3020.28,1474.6
SO000226,2022-01-14,C00041,P0020,4,1298.32,0.15,5193.28,778.99,4414.29,2693.88
SO000227,2022-04-11,C00420,P0007,3,213.28,0.0,639.84,0.0,639.84,431.58
SO000228,2023-09-04,C00438,P0002,6,239.03,0.15,1434.18,215.13,1219.05,627.06
SO000229,2023-08-06,C00092,P0006,10,769.69,0.05,7696.9,384.85,7312.05,5661.5
SO000230,2024-07-21,C00288,P0006,12,769.69,0.05,9236.28,461.81,8774.47,6793.8
SO000231,2024-01-25,C00154,P0011,7,612.61,0.1,4288.27,428.83,3859.44,2263.94
SO000232,2024-08-22,C00034,P0010,3,407.06,0.0,1221.18,0.0,1221.18,486.66
SO000233,2023-03-06,C00212,P0017,12,1129.3,0.0,13551.6,0.0,13551.6,9187.32
SO000234,2022-06-29,C00323,P0017,8,1129.3,0.1,9034.4,903.44,8130.96,6124.88
SO000235,2024-05-24,C00362,P0010,10,407.06,0.1,4070.6,407.06,3663.54,1622.2
SO000236,2022-09-23,C00320,P0012,10,1402.52,0.05,14025.2,701.26,13323.94,6284.2
SO000237,2023-04-22,C00253,P0006,12,769.69,0.0,9236.28,0.0,9236.28,6793.8
SO000238,2022-08-30,C00239,P0021,12,1034.07,0.1,12408.84,1240.88,11167.96,4968.48
SO000239,2023-11-15,C00212,P0002,9,239.03,0.05,2151.27,107.56,2043.71,940.59
SO000240,2023-06-06,C00104,P0010,2,407.06,0.0,814.12,0.0,814.12,324.44
SO000241,2023-11-14,C00004,P0004,9,1701.98,0.0,15317.82,0.0,15317.82,5998.14
SO000242,2023-02-02,C00427,P0006,6,769.69,0.1,4618.14,461.81,4156.33,3396.9
SO000243,2022-10-06,C00243,P0002,8,239.03,0.0,1912.24,0.0,1912.24,836.08
SO000244,2024-08-05,C00459,P0011,7,612.61,0.15,4288.27,643.24,3645.03,2263.94
SO000245,2023-10-09,C00290,P0022,9,316.23,0.05,2846.07,142.3,2703.77,1386.9
SO000246,2022-05-16,C00410,P0012,3,1402.52,0.0,4207.56,0.0,4207.56,1885.26
SO000247,2022-12-06,C00321,P0018,15,808.88,0.05,12133.2,606.66,11526.54,6098.7
SO000248,2023-10-07,C00401,P0010,12,407.06,0.0,4884.72,0.0,4884.72,1946.64
SO000249,2024-07-14,C00122,P0012,5,1402.52,0.0,7012.6,0.0,7012.6,3142.1
SO000250,2023-02-18,C00402,P0002,2,239.03,0.0,478.06,0.0,478.06,209.02
SO000251,2023-01-25,C00257,P0005,6,483.19,0.15,2899.14,434.87,2464.27,1465.26
SO000252,2022-10-21,C00398,P0011,2,612.61,0.1,1225.22,122.52,1102.7,646.84
SO000253,2022-03-16,C00068,P0007,8,213.28,0.0,1706.24,0.0,1706.24,1150.88
SO000254,2022-06-28,C00160,P0002,6,239.03,0.0,1434.18,0.0,1434.18,627.06
SO000255,2022-02-16,C00338,P0010,10,407.06,0.1,4070.6,407.06,3663.54,1622.2
SO000256,2023-08-10,C00103,P0007,5,213.28,0.05,1066.4,53.32,1013.08,719.3
SO000257,2022-11-19,C00140,P0005,8,483.19,0.0,3865.52,0.0,3865.52,1953.68
SO000258,2023-12-19,C00053,P0007,13,213.28,0.0,2772.64,0.0,2772.64,1870.18
SO000259,2023-05-17,C00146,P0019,3,133.67,0.0,401.01,0.0,401.01,159.39
SO000260,2022-09-24,C00228,P0002,1,239.03,0.0,239.03,0.0,239.03,104.51
SO000261,2024-05-23,C00028,P0003,7,329.69,0.0,2307.83,0.0,2307.83,1323.49
SO000262,2023-12-30,C00429,P0015,8,1099.41,0.0,8795.28,0.0,8795.28,3817.76
SO000263,2022-06-10,C00415,P0018,8,808.88,0.05,6471.04,323.55,6147.49,3252.64
SO000264,2022-07-19,C00358,P0015,8,1099.41,0.0,8795.28,0.0,8795.28,3817.76
SO000265,2023-04-04,C00241,P0008,3,1292.98,0.15,3878.94,581.84,3297.1,1733.19
SO000266,2023-11-08,C00201,P0006,9,769.69,0.0,6927.21,0.0,6927.21,5095.35
SO000267,2024-08-02,C00180,P0016,3,794.81,0.0,2384.43,0.0,2384.43,1105.95
SO000268,2024-04-10,C00261,P0004,12,1701.98,0.1,20423.76,2042.38,18381.38,7997.52
SO000269,2024-12-27,C00406,P0010,12,407.06,0.0,4884.72,0.0,4884.72,1946.64
SO000270,2024-09-14,C00281,P0006,7,769.69,0.0,5387.83,0.0,5387.83,3963.05
SO000271,2023-12-02,C00221,P0014,13,1773.38,0.05,23053.94,1152.7,21901.24,9651.2
SO000272,2024-09-23,C00379,P0019,2,133.67,0.05,267.34,13.37,253.97,106.26
SO000273,2022-12-27,C00421,P0015,8,1099.41,0.2,8795.28,1759.06,7036.22,3817.76
SO000274,2024-02-16,C00417,P0020,6,1298.32,0.0,7789.92,0.0,7789.92,4040.82
SO000275,2022-01-01,C00419,P0005,3,483.19,0.05,1449.57,72.48,1377.09,732.63
SO000276,2024-07-04,C00316,P0019,4,133.67,0.0,534.68,0.0,534.68,212.52
SO000277,2023-09-16,C00407,P0022,7,316.23,0.1,2213.61,221.36,1992.25,1078.7
SO000278,2024-11-11,C00299,P0001,10,1184.23,0.1,11842.3,1184.23,10658.07,5308.8
SO000279,2022-04-19,C00462,P0018,1,808.88,0.1,808.88,80.89,727.99,406.58
SO000280,2022-03-05,C00441,P0010,4,407.06,0.0,1628.24,0.0,1628.24,648.88
SO000281,2024-04-11,C00365,P0013,7,183.15,0.0,1282.05,0.0,1282.05,697.2
SO000282,2024-02-27,C00072,P0007,6,213.28,0.1,1279.68,127.97,1151.71,863.16
SO000283,2022-10-03,C00344,P0005,1,483.19,0.0,483.19,0.0,483.19,244.21
SO000284,2024-06-13,C00250,P0022,3,316.23,0.0,948.69,0.0,948.69,462.3
